hiseq_id,sample_id,library,observed_stage,stage,sex,site_shrt,region,site,year,month,latitude,longitude,pcl,fl,tl
ATL_2-55,SC_676,2,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.45648,-80.49908,NA,541,608
ATL_2-56,SC_675,2,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.45648,-80.49908,NA,539,605
ATL_5-02,SC_1039,5,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.44173,-80.39292,492,542,608
ATL_5-03,SC_1040,5,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.4389,-80.40108,506,557,624
ATL_5-04,SC_1041,5,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.4389,-80.40108,527,580,650
ATL_5-05,SC_1044,5,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.44488,-80.40445,495,545,611
ATL_5-07,SC_1046,5,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.45493,-80.39465,534,588,659
ATL_6-31,SC_1293,6,YOY,YOY,F,SHS,Atl,St._Helena_Sound,2014,JUN,32.48233,-80.48133,446,491,551
ATL_6-32,SC_1292,6,YOY,YOY,M,SHS,Atl,St._Helena_Sound,2014,JUN,32.48233,-80.48133,477,526,590
ATL_6-33,SC_1288,6,YOY,YOY,M,SHS,Atl,St._Helena_Sound,2014,JUN,32.48233,-80.48133,534,588,659
ATL_6-34,SC_1875,6,YOY,YOY,F,SHS,Atl,St._Helena_Sound,2015,JUL,32.48233,-80.48133,508,560,628
ATL_6-35,SC_1028,6,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.45648,-80.49908,525,578,648
ATL_6-36,SC_1029,6,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,SEP,32.45648,-80.49908,514,566,635
ATL_6-37,SC_922,6,YOY,YOY,F,SHS,Atl,St._Helena_Sound,2013,JUL,32.50048,-80.54033,517,569,638
ATL_6-43,SC_729,6,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,OCT,32.50048,-80.54033,NA,548,615
ATL_7-52,SC_1910,7,NA,YOY,F,SHS,Atl,St._Helena_Sound,2015,AUG,32.49225,-80.48527,502,553,620
ATL_7-56,SC_1913,7,NA,YOY,M,SHS,Atl,St._Helena_Sound,2015,AUG,32.38105,-80.3536,495,559,627
ATL_7-57,SC_1291,7,NA,YOY,UND,SHS,Atl,St._Helena_Sound,2014,JUN,32.48233,-80.48133,453,499,560
ATL_7-58,SC_1872,7,NA,YOY,M,SHS,Atl,St._Helena_Sound,2015,JUL,32.48233,-80.48133,495,545,611
ATL_7-59,SC_1874,7,NA,YOY,M,SHS,Atl,St._Helena_Sound,2015,JUL,32.48233,-80.48133,537,591,663
ATL_7-60,SC_1918,7,NA,YOY,F,SHS,Atl,St._Helena_Sound,2015,AUG,32.44752,-80.3852,490,540,605
ATL_7-61,SC_1917,7,NA,YOY,F,SHS,Atl,St._Helena_Sound,2015,AUG,32.45493,-80.39465,519,572,641
ATL_10-01,SC_2279,10,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2016,AUG,32.1723,-80.5782,504,555,701
ATL_1-01,SC_664,1,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.34215,-80.76567,NA,508,571
ATL_1-06,SC_666,1,NA,YOY,M,PRS,Atl,Port_Royal_Sound,2012,AUG,32.28818,-80.73142,NA,509,572
ATL_11-09,SC_2280,11,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2016,AUG,32.1723,-80.5782,536,590,740
ATL_1-11,SC_726,1,NA,YOY,M,PRS,Atl,Port_Royal_Sound,2012,OCT,32.15793,-80.58978,NA,561,630
ATL_2-49,SC_661,2,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.30055,-80.70873,NA,557,626
ATL_2-50,SC_727,2,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,OCT,32.15793,-80.58978,NA,556,624
ATL_2-54,SC_665,2,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.27792,-80.7233,NA,543,610
ATL_3-39,SC_1540,3,NA,YOY,M,PRS,Atl,Port_Royal_Sound,2014,SEP,32.24543,-80.64273,492,542,608
ATL_3-43,SC_1562,3,NA,YOY,M,PRS,Atl,Port_Royal_Sound,2014,SEP,32.14618,-80.58158,486,547,613
ATL_3-44,SC_1564,3,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2014,SEP,32.12818,-80.59887,435,485,544
ATL_4-02,SC_662,4,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.34215,-80.76567,NA,516,580
ATL_4-12,SC_1565,4,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2014,SEP,32.12818,-80.59887,487,545,611
ATL_6-38,SC_1906,6,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2015,AUG,32.25362,-80.6303,528,582,652
ATL_6-39,SC_1266,6,YOY,YOY,M,PRS,Atl,Port_Royal_Sound,2014,JUN,32.2278,-80.64022,435,479,537
ATL_6-40,SC_1905,6,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2015,AUG,32.25362,-80.6303,508,560,628
EGM_10-33,2019-0613-01-02,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55905,-82.57105,430,480,600
EGM_10-34,2019-0613-01-04,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55905,-82.57105,440,490,600
EGM_10-35,2019-0613-01-03,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55905,-82.57105,440,480,600
EGM_10-61,2019-1014-05-08,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,530,600,700
EGM_10-62,2019-1014-05-07,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,530,590,740
EGM_10-63,2019-1014-05-06,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,530,590,720
EGM_10-64,2019-1014-05-05,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,540,600,740
EGM_10-65,2019-1014-05-01,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.56278,-82.57894,540,600,710
EGM_10-67,2019-0624-06-03,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.57201,-82.56354,430,480,580
EGM_10-69,2019-0624-07-03,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.56019,-82.5855,420,480,590
EGM_10-70,2019-0624-07-02,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.56019,-82.5855,450,500,610
EGM_10-71,2019-0624-07-04,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.56019,-82.5855,470,530,660
EGM_10-72,2019-0703-03-01,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUL,27.53405,-82.60208,450,500,600
EGM_10-73,2019-0606-02-04,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55894,-82.5711,460,520,610
EGM_10-74,2019-0606-02-03,10,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55894,-82.5711,430,470,580
EGM_10-75,2019-0606-04-01,10,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.55898,-82.57104,420,470,570
EGM_11-08,2019-0624-07-05,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,JUN,27.56019,-82.5855,430,480,580
EGM_11-19,2018-1127-02-01,11,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2018,NOV,27.55365,-82.59515,560,630,760
EGM_11-20,2019-1014-08-03,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2019,OCT,27.5304,-82.60235,520,590,710
EGM_11-22,JG_726,11,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2017,JUL,27.567,-82.57458,440,490,610
EGM_11-23,JG_725,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2017,JUL,27.567,-82.57458,440,490,600
EGM_11-24,JG_724,11,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2017,JUL,27.567,-82.57458,420,460,570
EGM_11-25,JG_723,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2017,JUL,27.567,-82.57458,440,480,610
